id,year,state_name,state_code,district_name,district_code,registration_circles,rape,attempt_to_commit_rape,kidnapping_and_abduction,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_relatives,importation_of_girls_from_foreign,abetment_of_suicides_of_women,dowry_prohibition,indecent_representation_of_women,protection_of_women_from_domestic_violence,immoral_traffic_prevention,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,human_trafficking,un_natural_offences
0,2016,Andhra Pradesh,28,Anantapur,502,Anantapur,33,15,55,23,362,13,130,0,52,213,0,0,6,0,0,0,0,0,0
1,2016,Andhra Pradesh,28,Chittoor,503,Chittoor,21,12,9,12,135,3,196,0,0,1,0,0,4,0,0,0,0,0,0
2,2016,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,38,9,14,12,266,104,332,0,0,0,0,0,6,0,0,0,0,7,0
3,2016,Andhra Pradesh,28,East Godavari,505,East Godavari,120,22,21,12,413,146,544,0,35,5,4,0,36,1,2,0,0,0,0
4,2016,Andhra Pradesh,28,Anantapur,502,Guntakal Railway,0,0,1,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,Andhra Pradesh,28,Guntur,506,Guntur,62,17,33,15,283,321,434,0,49,0,0,0,5,0,0,0,0,0,0
6,2016,Andhra Pradesh,28,Guntur,506,Guntur Urban,43,2,103,7,148,137,374,0,20,0,0,0,16,0,0,0,3,1,0
7,2016,Andhra Pradesh,28,Krishna,510,Krishna,81,31,38,21,419,250,606,0,36,0,0,0,3,0,0,0,0,1,0
8,2016,Andhra Pradesh,28,Kurnool,511,Kurnool,33,6,48,18,475,243,277,0,58,367,0,0,19,0,0,0,0,0,0
9,2016,Andhra Pradesh,28,Spsr Nellore,515,Nellore,52,20,42,4,320,154,562,0,24,0,0,0,15,0,3,0,0,0,0
10,2016,Andhra Pradesh,28,Prakasam,517,Prakasham,67,14,31,13,290,36,503,0,33,0,0,0,8,0,0,0,0,4,0
11,2016,Andhra Pradesh,28,East Godavari,505,Rajahmundry,26,1,11,4,146,47,191,0,7,0,0,0,4,0,0,0,0,0,0
12,2016,Andhra Pradesh,28,Srikakulam,519,Srikakulam,41,1,13,2,130,9,243,0,17,0,0,0,1,0,1,0,0,6,0
13,2016,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,16,4,18,6,71,17,74,0,0,0,0,0,2,0,0,0,0,0,0
14,2016,Andhra Pradesh,28,Ntr,749,Vijayawada City,72,6,28,10,207,134,412,0,25,1,0,0,21,0,0,0,0,7,0
15,2016,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,2,0,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,Andhra Pradesh,28,Visakhapatanam,520,Visakha Rural,34,1,21,4,130,5,130,0,0,0,0,0,0,0,0,0,0,0,0
17,2016,Andhra Pradesh,28,Visakhapatanam,520,Visakhapatnam,81,2,78,6,306,12,403,0,16,4,0,0,24,2,0,0,0,0,0
18,2016,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,33,2,8,4,201,69,299,0,0,1,0,0,0,0,0,0,0,0,0
19,2016,Andhra Pradesh,28,West Godavari,523,West Godavari,139,25,54,17,512,126,750,0,33,0,1,0,16,0,0,0,0,5,0
20,2016,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,Arunachal Pradesh,12,Changlang,229,Changlang,5,0,9,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0
22,2016,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,Arunachal Pradesh,12,East Kameng,231,Kameng East,5,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016,Arunachal Pradesh,12,West Kameng,242,Kameng West,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
27,2016,Arunachal Pradesh,12,Lohit,234,Lohit,3,0,9,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
28,2016,Arunachal Pradesh,12,Longding,666,Longding,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,25,4,28,0,45,8,27,0,2,0,0,0,0,0,0,0,0,1,0
31,2016,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,Arunachal Pradesh,12,East Siang,232,Siang East,14,3,8,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0
33,2016,Arunachal Pradesh,12,Upper Siang,240,Siang Upper,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016,Arunachal Pradesh,12,West Siang,243,Siang West,10,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,6,4,2,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0
