id,year,state_name,state_code,district_name,district_code,registration_circles,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,attempt_to_commit_rape,kidnapping_and_abduction,dacoity,mkng_preparation_and_assembly_for_comm_dacoity,robbery,criminal_trespass_or_burglary,theft,unlawful_assembly,riots,criminal_breach_of_trust,cheating,forgery,counterfeiting,arson,grievous_hurt,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,offences_against_state,offences_promoting_enmity_between_diff_grp,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,human_trafficking,unnatural_offence,other_ipc_crimes
0,2016,Andhra Pradesh,28,Anantapur,502,Anantapur,127,195,6,0,33,15,71,1,0,12,246,509,0,104,20,438,0,8,49,57,23,362,13,130,0,588,0,0,29,0,862,0,0,3200
1,2016,Andhra Pradesh,28,Chittoor,503,Chittoor,72,73,3,0,21,12,19,7,0,2,163,515,18,46,12,130,0,3,10,13,12,135,3,196,0,590,0,0,20,0,738,0,0,1429
2,2016,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,78,257,6,0,38,9,24,7,0,11,240,514,21,73,78,261,12,1,36,16,12,266,104,332,0,480,0,0,38,0,2520,8,0,1987
3,2016,Andhra Pradesh,28,East Godavari,505,East Godavari,64,78,9,0,120,22,61,4,0,14,402,960,82,77,75,260,15,0,38,28,12,413,146,544,0,625,0,0,55,0,1244,0,0,2643
4,2016,Andhra Pradesh,28,Anantapur,502,Guntakal Railway,8,0,0,0,0,0,1,0,0,7,0,584,0,3,0,0,0,6,0,11,2,8,0,1,0,1,0,0,0,0,3,0,0,30
5,2016,Andhra Pradesh,28,Guntur,506,Guntur,109,157,4,0,62,17,40,1,0,13,205,582,3,51,15,312,5,2,44,67,15,283,321,434,0,604,0,0,23,0,860,0,1,2251
6,2016,Andhra Pradesh,28,Guntur,506,Guntur Urban,40,50,3,0,43,2,128,3,0,14,177,571,51,12,21,351,20,3,21,13,7,148,137,374,0,291,0,5,46,0,636,1,0,1126
7,2016,Andhra Pradesh,28,Krishna,510,Krishna,48,63,5,0,81,31,42,0,0,11,225,474,0,11,26,209,0,2,26,32,21,419,250,606,0,454,0,0,16,0,1000,1,1,2775
8,2016,Andhra Pradesh,28,Kurnool,511,Kurnool,119,298,7,0,33,6,67,7,0,14,250,497,0,52,92,433,0,8,38,17,18,475,243,277,0,620,0,1,45,0,1331,0,0,3268
9,2016,Andhra Pradesh,28,Spsr Nellore,515,Nellore,74,148,6,0,52,20,56,4,2,27,365,840,23,65,121,246,17,3,71,52,4,320,154,562,0,462,0,0,24,0,1028,0,0,2763
10,2016,Andhra Pradesh,28,Prakasam,517,Prakasham,77,82,8,0,67,14,35,3,0,18,259,568,47,61,59,203,62,0,40,24,13,290,36,503,0,527,0,0,17,0,869,4,2,2479
11,2016,Andhra Pradesh,28,East Godavari,505,Rajahmundry,19,18,2,0,26,1,20,1,0,12,140,402,0,8,37,90,6,2,16,13,4,146,47,191,0,160,0,0,12,0,457,0,0,686
12,2016,Andhra Pradesh,28,Srikakulam,519,Srikakulam,31,26,5,0,41,1,17,0,0,7,67,137,2,6,18,123,3,2,13,47,2,130,9,243,0,283,0,0,16,0,814,6,0,1378
13,2016,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,38,36,3,0,16,4,21,6,0,16,194,806,0,26,12,184,0,0,0,8,6,71,17,74,0,245,0,0,0,0,373,0,0,795
14,2016,Andhra Pradesh,28,Ntr,749,Vijayawada City,33,50,1,0,72,6,45,2,0,59,321,2006,26,7,64,382,78,2,27,21,10,207,134,412,0,371,0,1,49,0,1280,7,2,1387
15,2016,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,7,1,0,0,2,0,0,3,0,9,1,1041,0,6,2,6,0,12,0,1,1,7,5,0,0,0,0,0,11,0,1,0,0,36
16,2016,Andhra Pradesh,28,Visakhapatanam,520,Visakha Rural,52,59,2,0,34,1,21,3,0,2,132,178,0,28,10,111,0,0,24,43,4,130,5,130,0,347,1,0,14,0,490,0,0,929
17,2016,Andhra Pradesh,28,Visakhapatanam,520,Visakhapatnam,33,77,5,0,81,2,178,5,0,40,380,1321,0,6,50,611,6,3,15,57,6,306,12,403,0,364,0,0,4,0,1094,0,0,1704
18,2016,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,31,16,3,0,33,2,8,1,0,2,172,235,4,5,12,111,2,1,13,32,4,201,69,299,0,302,0,0,0,0,949,0,0,1849
19,2016,Andhra Pradesh,28,West Godavari,523,West Godavari,63,111,5,0,139,25,63,5,0,25,466,1116,26,10,40,416,2,4,38,52,17,512,126,750,0,664,0,7,91,0,1246,5,1,2651
20,2016,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,6
21,2016,Arunachal Pradesh,12,Changlang,229,Changlang,5,3,0,0,5,0,13,1,0,2,12,32,0,2,0,0,0,2,4,25,0,5,0,4,0,5,2,0,18,0,11,0,0,7
22,2016,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2016,Arunachal Pradesh,12,East Kameng,231,Kameng East,5,4,1,0,5,0,5,0,0,1,11,12,0,0,2,8,0,0,0,23,0,8,0,0,0,3,0,0,2,0,3,0,0,19
25,2016,Arunachal Pradesh,12,West Kameng,242,Kameng West,1,0,1,0,0,0,2,0,0,1,13,26,0,0,1,1,5,0,2,8,0,7,0,0,0,18,0,0,2,0,18,0,0,16
26,2016,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0,3,0,0,1,0,2,0,0,0,4,5,0,0,2,0,0,0,0,2,0,1,0,3,0,0,0,0,3,0,2,0,0,25
27,2016,Arunachal Pradesh,12,Lohit,234,Lohit,0,1,0,0,3,0,10,0,0,1,9,16,0,0,0,4,1,0,0,8,1,5,0,2,0,12,0,0,1,0,10,0,0,21
28,2016,Arunachal Pradesh,12,Longding,666,Longding,2,3,1,0,2,0,3,0,0,1,3,7,0,0,1,3,0,0,0,11,0,0,0,0,0,1,0,0,7,0,0,0,0,6
29,2016,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,1,0,0,0,1,0,1,0,0,4,8,11,0,0,1,2,0,0,0,12,0,3,0,0,0,10,0,0,3,0,4,0,0,9
30,2016,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,8,5,1,0,25,4,36,1,0,22,64,207,0,5,14,43,7,1,6,45,0,45,8,27,0,8,0,0,29,0,43,1,1,115
31,2016,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,2,1,0,0,1,0,5,3,0,1,9,22,0,0,4,2,2,0,0,8,0,0,0,0,0,2,0,0,3,0,2,0,0,14
32,2016,Arunachal Pradesh,12,East Siang,232,Siang East,2,3,1,0,14,3,8,0,0,14,14,59,0,1,0,8,2,0,9,11,0,8,2,7,0,9,0,1,4,0,11,0,0,54
33,2016,Arunachal Pradesh,12,Upper Siang,240,Siang Upper,1,1,0,0,5,0,1,0,0,0,7,7,0,0,0,1,0,0,0,3,0,1,0,0,0,4,0,0,2,0,3,0,0,14
34,2016,Arunachal Pradesh,12,West Siang,243,Siang West,0,3,0,0,10,3,3,1,0,3,15,13,0,0,4,16,1,0,3,26,0,9,0,0,0,7,0,0,3,0,10,0,0,22
35,2016,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,1,2,1,0,2,0,4,3,0,3,12,21,0,0,0,10,1,0,1,20,0,2,0,0,0,1,0,0,3,0,1,0,0,66
36,2016,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,3,7,0,0,6,4,2,0,0,0,10,10,0,0,0,4,1,0,1,4,0,6,0,3,0,1,0,0,1,0,5,0,0,22
37,2016,Arunachal Pradesh,12,Tawang,238,Tawang,1,2,0,0,0,0,0,0,0,0,5,9,0,0,1,0,0,0,1,2,0,2,0,0,0,6,0,0,1,0,3,0,0,5
38,2016,Arunachal Pradesh,12,Tirap,239,Tirap,2,3,0,0,0,0,3,1,0,1,4,10,0,0,2,3,0,0,1,2,0,1,0,1,0,2,0,0,14,0,2,0,0,12
39,2016,Arunachal Pradesh,12,Namsai,678,Namsai,12,5,0,0,9,1,12,0,0,9,14,28,0,0,0,1,3,0,1,14,0,5,0,2,0,14,0,0,2,0,2,0,1,12
40,2016,Arunachal Pradesh,12,Siang,679,Siang,0,0,0,0,2,0,0,0,0,0,4,11,1,0,0,0,1,0,1,5,0,1,0,1,0,1,0,0,1,0,2,0,0,11
41,2016,Assam,18,Kamrup Metro,618,B. I. E. O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
42,2016,Assam,18,Barpeta,280,Barpeta,55,149,4,0,104,101,363,6,2,22,317,476,15,246,81,277,70,4,55,1498,24,334,0,813,0,110,2,0,22,0,308,1,4,1432
43,2016,Assam,18,Baksa,616,Baksa,28,55,0,0,25,4,166,3,0,26,41,92,0,0,8,44,0,0,10,39,1,87,2,67,0,53,0,0,52,0,62,1,0,468
44,2016,Assam,18,Bongaigaon,281,Bongaigaon,21,12,0,0,41,0,151,1,0,11,102,280,0,5,2,95,25,0,13,637,2,46,0,234,0,66,0,0,5,0,112,2,0,418
45,2016,Assam,18,Kamrup Metro,618,C. I. D.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
46,2016,Assam,18,Cachar,282,Cachar,50,3,0,1,75,13,319,6,1,18,346,686,101,112,98,113,55,2,36,353,12,71,5,515,0,100,0,0,53,0,412,1,0,2453
47,2016,Assam,18,Chirang,612,Chirang,16,10,0,0,19,3,76,0,0,3,30,157,0,10,5,59,13,5,3,57,0,23,0,65,0,30,0,0,28,0,28,0,0,246
48,2016,Assam,18,Darrang,283,Darrang,28,0,0,0,95,28,186,7,0,13,190,258,0,47,44,234,30,1,29,492,6,524,0,493,0,68,0,0,3,0,192,2,0,972
49,2016,Assam,18,Dhemaji,284,Dhemaji,21,47,1,0,47,8,126,2,0,13,61,159,34,7,11,76,5,1,17,192,1,91,1,111,0,57,0,0,22,0,52,2,1,223
50,2016,Assam,18,Dhubri,285,Dhubri,32,86,0,0,145,34,362,9,0,50,146,578,302,481,217,196,53,3,62,814,9,471,7,863,0,109,0,0,182,0,236,7,1,649
51,2016,Assam,18,Dibrugarh,286,Dibrugarh,68,41,0,0,59,5,205,1,0,29,154,521,10,5,93,65,23,1,22,49,3,41,0,247,0,95,0,0,14,0,145,2,0,1389
52,2016,Assam,18,Kamrup Metro,618,G. R. P.,12,0,0,0,1,0,12,1,0,5,0,375,0,3,8,6,0,0,0,10,0,3,0,0,0,2,0,0,5,0,1,10,0,41
53,2016,Assam,18,Goalpara,287,Goalpara,40,28,4,0,48,8,112,2,0,4,214,159,0,0,0,44,11,0,26,516,6,15,0,279,0,110,6,0,1,0,145,2,1,919
54,2016,Assam,18,Golaghat,288,Golaghat,64,38,1,0,47,6,262,13,0,37,107,375,2,0,15,94,14,2,15,248,6,54,0,315,0,111,0,0,34,0,133,0,0,1072
55,2016,Assam,18,Kamrup Metro,618,Guwahati City,75,48,0,0,72,9,677,9,0,288,950,3030,0,30,327,845,0,23,25,94,9,151,13,507,0,258,0,0,149,0,784,6,2,4637
56,2016,Assam,18,Hailakandi,289,Hailakandi,16,20,2,0,88,5,116,1,0,6,72,158,117,109,59,74,15,1,23,266,0,26,3,264,0,28,0,0,51,0,136,0,0,713
