district_code,state_name,district_name_2016,district_name_2017_onwards,canonical_name,notes
602,Andaman And Nicobar Islands,South Andamans,South Andamans,South Andamans,
603,Andaman And Nicobar Islands,Nicobars,Nicobars,Nicobars,
632,Andaman And Nicobar Islands,North And Middle Andaman,North And Middle Andaman,North And Middle Andaman,
502,Andhra Pradesh,Anantapur,Anantapur,Anantapur,
503,Andhra Pradesh,Chittoor,Chittoor,Chittoor,
504,Andhra Pradesh,Y.S.R.,Y.S.R.,Y.S.R.,
505,Andhra Pradesh,East Godavari,East Godavari,East Godavari,
506,Andhra Pradesh,Guntur,Guntur,Guntur,
510,Andhra Pradesh,Krishna,Krishna,Krishna,
511,Andhra Pradesh,Kurnool,Kurnool,Kurnool,
515,Andhra Pradesh,Spsr Nellore,Spsr Nellore,Spsr Nellore,
517,Andhra Pradesh,Prakasam,Prakasam,Prakasam,
519,Andhra Pradesh,Srikakulam,Srikakulam,Srikakulam,
520,Andhra Pradesh,Visakhapatanam,Visakhapatanam,Visakhapatanam,
521,Andhra Pradesh,Vizianagaram,Vizianagaram,Vizianagaram,
523,Andhra Pradesh,West Godavari,West Godavari,West Godavari,
749,Andhra Pradesh,Ntr,Ntr,Ntr,
752,Andhra Pradesh,Tirupati,Tirupati,Tirupati,
753,Andhra Pradesh,,Annamayya,Annamayya,"new district code, only appears 2017 onwards"
754,Andhra Pradesh,,Sri Sathya Sai,Sri Sathya Sai,"new district code, only appears 2017 onwards"
755,Andhra Pradesh,,Nandyal,Nandyal,"new district code, only appears 2017 onwards"
756,Andhra Pradesh,,Tamulpur,Tamulpur,"new district code, only appears 2017 onwards"
759,Andhra Pradesh,,Khairgarh Chhuikhadan Gandai,Khairgarh Chhuikhadan Gandai,"new district code, only appears 2017 onwards"
760,Andhra Pradesh,,Manendragarh Chirimiri Bharatpur,Manendragarh Chirimiri Bharatpur,"new district code, only appears 2017 onwards"
761,Andhra Pradesh,,Mohla Manpur Ambagarh Chouki,Mohla Manpur Ambagarh Chouki,"new district code, only appears 2017 onwards"
762,Andhra Pradesh,,Sakti,Sakti,"new district code, only appears 2017 onwards"
763,Andhra Pradesh,,Sarangarh Bilaigarh,Sarangarh Bilaigarh,"new district code, only appears 2017 onwards"
770,Andhra Pradesh,,Khairthal-Tijara,Khairthal-Tijara,"new district code, only appears 2017 onwards"
229,Arunachal Pradesh,Changlang,Changlang,Changlang,
230,Arunachal Pradesh,Dibang Valley,Dibang Valley,Dibang Valley,
231,Arunachal Pradesh,East Kameng,East Kameng,East Kameng,
232,Arunachal Pradesh,East Siang,East Siang,East Siang,
233,Arunachal Pradesh,Kurung Kumey,Kurung Kumey,Kurung Kumey,
234,Arunachal Pradesh,Lohit,Lohit,Lohit,
235,Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley,Lower Dibang Valley,
236,Arunachal Pradesh,Lower Subansiri,Lower Subansiri,Lower Subansiri,
237,Arunachal Pradesh,Papum Pare,Papum Pare,Papum Pare,
238,Arunachal Pradesh,Tawang,Tawang,Tawang,
239,Arunachal Pradesh,Tirap,Tirap,Tirap,
240,Arunachal Pradesh,Upper Siang,Upper Siang,Upper Siang,
241,Arunachal Pradesh,Upper Subansiri,Upper Subansiri,Upper Subansiri,
242,Arunachal Pradesh,West Kameng,West Kameng,West Kameng,
243,Arunachal Pradesh,West Siang,West Siang,West Siang,
628,Arunachal Pradesh,Anjaw,Anjaw,Anjaw,
666,Arunachal Pradesh,Longding,Longding,Longding,
678,Arunachal Pradesh,Namsai,Namsai,Namsai,
679,Arunachal Pradesh,Siang,Siang,Siang,
681,Arunachal Pradesh,,Jagitial,Jagitial,"new district code, only appears 2017 onwards"
682,Arunachal Pradesh,,Peddapalli,Peddapalli,"new district code, only appears 2017 onwards"
683,Arunachal Pradesh,,Rajanna Sircilla,Rajanna Sircilla,"new district code, only appears 2017 onwards"
726,Arunachal Pradesh,,Hnahthial,Hnahthial,"new district code, only appears 2017 onwards"
727,Arunachal Pradesh,,Saitual,Saitual,"new district code, only appears 2017 onwards"
731,Arunachal Pradesh,,Ranipet,Ranipet,"new district code, only appears 2017 onwards"
732,Arunachal Pradesh,,Tirupathur,Tirupathur,"new district code, only appears 2017 onwards"
733,Arunachal Pradesh,,Tenkasi,Tenkasi,"new district code, only appears 2017 onwards"
280,Assam,Barpeta,Barpeta,Barpeta,
281,Assam,Bongaigaon,Bongaigaon,Bongaigaon,
282,Assam,Cachar,Cachar,Cachar,
283,Assam,Darrang,Darrang,Darrang,
284,Assam,Dhemaji,Dhemaji,Dhemaji,
285,Assam,Dhubri,Dhubri,Dhubri,
286,Assam,Dibrugarh,Dibrugarh,Dibrugarh,
287,Assam,Goalpara,Goalpara,Goalpara,
288,Assam,Golaghat,Golaghat,Golaghat,
289,Assam,Hailakandi,Hailakandi,Hailakandi,
290,Assam,Jorhat,Jorhat,Jorhat,
291,Assam,Kamrup,Kamrup,Kamrup,
292,Assam,Karbi Anglong,Karbi Anglong,Karbi Anglong,
293,Assam,Karimganj,Karimganj,Karimganj,
294,Assam,Kokrajhar,Kokrajhar,Kokrajhar,
295,Assam,Lakhimpur,Lakhimpur,Lakhimpur,
296,Assam,Marigaon,Marigaon,Marigaon,
297,Assam,Nagaon,Nagaon,Nagaon,
298,Assam,Nalbari,Nalbari,Nalbari,
299,Assam,Dima Hasao,Dima Hasao,Dima Hasao,
300,Assam,Sivasagar,Sivasagar,Sivasagar,
301,Assam,Sonitpur,Sonitpur,Sonitpur,
302,Assam,Tinsukia,Tinsukia,Tinsukia,
612,Assam,Chirang,Chirang,Chirang,
616,Assam,Baksa,Baksa,Baksa,
617,Assam,Udalguri,Udalguri,Udalguri,
618,Assam,Kamrup Metro,Kamrup Metro,Kamrup Metro,
705,Assam,Biswanath,Biswanath,Biswanath,
706,Assam,Majuli,Majuli,Majuli,
707,Assam,South Salmara Mancachar,South Salmara Mancachar,South Salmara Mancachar,
708,Assam,Charaideo,Charaideo,Charaideo,
709,Assam,Hojai,Hojai,Hojai,
710,Assam,West Karbi Anglong,West Karbi Anglong,West Karbi Anglong,
713,Assam,,Jiribam,Jiribam,"new district code, only appears 2017 onwards"
714,Assam,,Noney,Noney,"new district code, only appears 2017 onwards"
715,Assam,,Pherzawl,Pherzawl,"new district code, only appears 2017 onwards"
716,Assam,,Tengnoupal,Tengnoupal,"new district code, only appears 2017 onwards"
717,Assam,,Kamjong,Kamjong,"new district code, only appears 2017 onwards"
718,Assam,,Kamle,Kamle,"new district code, only appears 2017 onwards"
188,Bihar,Araria,Araria,Araria,
189,Bihar,Aurangabad,Aurangabad,Aurangabad,
190,Bihar,Banka,Banka,Banka,
191,Bihar,Begusarai,Begusarai,Begusarai,
192,Bihar,Bhagalpur,Bhagalpur,Bhagalpur,
193,Bihar,Bhojpur,Bhojpur,Bhojpur,
194,Bihar,Buxar,Buxar,Buxar,
195,Bihar,Darbhanga,Darbhanga,Darbhanga,
196,Bihar,Gaya,Gaya,Gaya,
197,Bihar,Gopalganj,Gopalganj,Gopalganj,
198,Bihar,Jamui,Jamui,Jamui,
199,Bihar,Jehanabad,Jehanabad,Jehanabad,
200,Bihar,Kaimur (Bhabua),Kaimur (Bhabua),Kaimur (Bhabua),
201,Bihar,Katihar,Katihar,Katihar,
202,Bihar,Khagaria,Khagaria,Khagaria,
203,Bihar,Kishanganj,Kishanganj,Kishanganj,
204,Bihar,Lakhisarai,Lakhisarai,Lakhisarai,
205,Bihar,Madhepura,Madhepura,Madhepura,
206,Bihar,Madhubani,Madhubani,Madhubani,
207,Bihar,Munger,Munger,Munger,
208,Bihar,Muzaffarpur,Muzaffarpur,Muzaffarpur,
209,Bihar,Nalanda,Nalanda,Nalanda,
210,Bihar,Nawada,Nawada,Nawada,
211,Bihar,Pashchim Champaran,Pashchim Champaran,Pashchim Champaran,
212,Bihar,Patna,Patna,Patna,
213,Bihar,Purbi Champaran,Purbi Champaran,Purbi Champaran,
214,Bihar,Purnia,Purnia,Purnia,
215,Bihar,Rohtas,Rohtas,Rohtas,
216,Bihar,Saharsa,Saharsa,Saharsa,
217,Bihar,Samastipur,Samastipur,Samastipur,
218,Bihar,Saran,Saran,Saran,
219,Bihar,Sheikhpura,Sheikhpura,Sheikhpura,
220,Bihar,Sheohar,Sheohar,Sheohar,
221,Bihar,Sitamarhi,Sitamarhi,Sitamarhi,
222,Bihar,Siwan,Siwan,Siwan,
223,Bihar,Supaul,Supaul,Supaul,
224,Bihar,Vaishali,Vaishali,Vaishali,
611,Bihar,Arwal,Arwal,Arwal,
44,Chandigarh,Chandigarh,Chandigarh,Chandigarh,
374,Chhattisgarh,Bastar,Bastar,Bastar,
375,Chhattisgarh,Bilaspur,Bilaspur,Bilaspur,
376,Chhattisgarh,Dantewada,Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,name spelling changed between eras
377,Chhattisgarh,Dhamtari,Dhamtari,Dhamtari,
378,Chhattisgarh,Durg,Durg,Durg,
379,Chhattisgarh,Janjgir-Champa,Janjgir-Champa,Janjgir-Champa,
380,Chhattisgarh,Jashpur,Jashpur,Jashpur,
381,Chhattisgarh,Kanker,Uttar Bastar Kanker,Uttar Bastar Kanker,name spelling changed between eras
382,Chhattisgarh,Kabirdham,Kabeerdham,Kabeerdham,name spelling changed between eras
383,Chhattisgarh,Korba,Korba,Korba,
384,Chhattisgarh,Korea,Korea,Korea,
385,Chhattisgarh,Mahasamund,Mahasamund,Mahasamund,
386,Chhattisgarh,Raigarh,Raigarh,Raigarh,
387,Chhattisgarh,Raipur,Raipur,Raipur,
388,Chhattisgarh,Rajnandgaon,Rajnandgaon,Rajnandgaon,
389,Chhattisgarh,Surguja,Surguja,Surguja,
636,Chhattisgarh,Bijapur,Bijapur,Bijapur,
637,Chhattisgarh,Narayanpur,Narayanpur,Narayanpur,
642,Chhattisgarh,Sukma,Sukma,Sukma,
643,Chhattisgarh,Kondagaon,Kondagaon,Kondagaon,
644,Chhattisgarh,Baloda Bazar,Baloda Bazar,Baloda Bazar,
645,Chhattisgarh,Gariyaband,Gariyaband,Gariyaband,
646,Chhattisgarh,Balod,Balod,Balod,
647,Chhattisgarh,Mungeli,Mungeli,Mungeli,
648,Chhattisgarh,Surajpur,Surajpur,Surajpur,
649,Chhattisgarh,Balrampur,Balrampur Ramanujganj,Balrampur Ramanujganj,name spelling changed between eras
650,Chhattisgarh,Bemetara,Bemetara,Bemetara,
744,Chhattisgarh,,Anakapalli,Anakapalli,"new district code, only appears 2017 onwards"
77,Delhi,Central,Central,Central,
78,Delhi,East,East,East,
79,Delhi,New Delhi,New Delhi,New Delhi,
80,Delhi,North,North,North,
81,Delhi,North East,North East,North East,
82,Delhi,North West,North West,North West,
83,Delhi,South,South,South,
84,Delhi,South West,South West,South West,
85,Delhi,West,West,West,
670,Delhi,South East,South East,South East,
551,Goa,North Goa,North Goa,North Goa,
552,Goa,South Goa,South Goa,South Goa,
438,Gujarat,Ahmadabad,Ahmadabad,Ahmadabad,
439,Gujarat,Amreli,Amreli,Amreli,
440,Gujarat,Anand,Anand,Anand,
441,Gujarat,Banas Kantha,Banas Kantha,Banas Kantha,
442,Gujarat,Bharuch,Bharuch,Bharuch,
443,Gujarat,Bhavnagar,Bhavnagar,Bhavnagar,
444,Gujarat,Dang,Dang,Dang,
445,Gujarat,Dohad,Dohad,Dohad,
446,Gujarat,Gandhinagar,Gandhinagar,Gandhinagar,
447,Gujarat,Jamnagar,Jamnagar,Jamnagar,
448,Gujarat,Junagadh,Junagadh,Junagadh,
449,Gujarat,Kachchh,Kachchh,Kachchh,
450,Gujarat,Kheda,Kheda,Kheda,
451,Gujarat,Mahesana,Mahesana,Mahesana,
452,Gujarat,Narmada,Narmada,Narmada,
453,Gujarat,Navsari,Navsari,Navsari,
454,Gujarat,Panch Mahals,Panch Mahals,Panch Mahals,
455,Gujarat,Patan,Patan,Patan,
456,Gujarat,Porbandar,Porbandar,Porbandar,
457,Gujarat,Rajkot,Rajkot,Rajkot,
458,Gujarat,Sabar Kantha,Sabar Kantha,Sabar Kantha,
459,Gujarat,Surat,Surat,Surat,
460,Gujarat,Surendranagar,Surendranagar,Surendranagar,
461,Gujarat,Vadodara,Vadodara,Vadodara,
462,Gujarat,Valsad,Valsad,Valsad,
641,Gujarat,Tapi,Tapi,Tapi,
668,Gujarat,Chhotaudepur,Chhotaudepur,Chhotaudepur,
669,Gujarat,Mahisagar,Mahisagar,Mahisagar,
672,Gujarat,Arvalli,Arvalli,Arvalli,
673,Gujarat,Morbi,Morbi,Morbi,
674,Gujarat,Devbhumi Dwarka,Devbhumi Dwarka,Devbhumi Dwarka,
675,Gujarat,Gir Somnath,Gir Somnath,Gir Somnath,
676,Gujarat,Botad,Botad,Botad,
677,Gujarat,,Kra Daadi,Kra Daadi,"new district code, only appears 2017 onwards"
680,Gujarat,,Nirmal,Nirmal,"new district code, only appears 2017 onwards"
58,Haryana,Ambala,Ambala,Ambala,
59,Haryana,Bhiwani,Bhiwani,Bhiwani,
60,Haryana,Faridabad,Faridabad,Faridabad,
61,Haryana,Fatehabad,Fatehabad,Fatehabad,
62,Haryana,Gurugram,Gurugram,Gurugram,
63,Haryana,Hisar,Hisar,Hisar,
64,Haryana,Jhajjar,Jhajjar,Jhajjar,
65,Haryana,Jind,Jind,Jind,
66,Haryana,Kaithal,Kaithal,Kaithal,
67,Haryana,Karnal,Karnal,Karnal,
68,Haryana,Kurukshetra,Kurukshetra,Kurukshetra,
69,Haryana,Mahendragarh,Mahendragarh,Mahendragarh,
70,Haryana,Panchkula,Panchkula,Panchkula,
71,Haryana,Panipat,Panipat,Panipat,
72,Haryana,Rewari,Rewari,Rewari,
73,Haryana,Rohtak,Rohtak,Rohtak,
74,Haryana,Sirsa,Sirsa,Sirsa,
75,Haryana,Sonipat,Sonipat,Sonipat,
76,Haryana,Yamunanagar,Yamunanagar,Yamunanagar,
604,Haryana,Nuh,Nuh,Nuh,
619,Haryana,Palwal,Palwal,Palwal,
15,Himachal Pradesh,Bilaspur,Bilaspur,Bilaspur,
16,Himachal Pradesh,Chamba,Chamba,Chamba,
17,Himachal Pradesh,Hamirpur,Hamirpur,Hamirpur,
18,Himachal Pradesh,Kangra,Kangra,Kangra,
19,Himachal Pradesh,Kinnaur,Kinnaur,Kinnaur,
20,Himachal Pradesh,Kullu,Kullu,Kullu,
21,Himachal Pradesh,Lahul And Spiti,Lahul And Spiti,Lahul And Spiti,
22,Himachal Pradesh,Mandi,Mandi,Mandi,
23,Himachal Pradesh,Shimla,Shimla,Shimla,
24,Himachal Pradesh,Sirmaur,Sirmaur,Sirmaur,
25,Himachal Pradesh,Solan,Solan,Solan,
26,Himachal Pradesh,Una,Una,Una,
