district_code,state_name,canonical_name,population_2011,match_method
1,Jammu And Kashmir,Anantnag,1078692.0,exact
10,Jammu And Kashmir,Poonch,476835,fuzzy
100,Rajasthan,Ganganagar,1969168.0,exact
101,Rajasthan,Hanumangarh,1774692.0,exact
102,Rajasthan,Jaipur,6626178.0,exact
103,Rajasthan,Jaisalmer,669919.0,exact
104,Rajasthan,Jalore,1828730,fuzzy
105,Rajasthan,Jhalawar,1411129.0,exact
106,Rajasthan,Jhunjhunu,2137045,fuzzy
107,Rajasthan,Jodhpur,3687165.0,exact
108,Rajasthan,Karauli,1458248.0,exact
109,Rajasthan,Kota,1951014.0,exact
11,Jammu And Kashmir,Pulwama,560440.0,exact
110,Rajasthan,Nagaur,3307743.0,exact
111,Rajasthan,Pali,2037573.0,exact
112,Rajasthan,Rajsamand,1156597.0,exact
113,Rajasthan,Sawai Madhopur,1335551.0,exact
114,Rajasthan,Sikar,2677333.0,exact
115,Rajasthan,Sirohi,1036346.0,exact
116,Rajasthan,Tonk,1421326.0,exact
117,Rajasthan,Udaipur,3068420.0,exact
118,Uttar Pradesh,Agra,4418797.0,exact
119,Uttar Pradesh,Aligarh,3673889.0,exact
12,Jammu And Kashmir,Rajouri,642415.0,exact
120,Uttar Pradesh,Prayagraj,,unmatched_likely_post_2011_district
121,Uttar Pradesh,Ambedkar Nagar,2397888.0,exact
122,Uttar Pradesh,Auraiya,1379545.0,exact
123,Uttar Pradesh,Azamgarh,4613913.0,exact
124,Uttar Pradesh,Baghpat,1303048.0,exact
125,Uttar Pradesh,Bahraich,3487731.0,exact
126,Uttar Pradesh,Ballia,3239774.0,exact
127,Uttar Pradesh,Balrampur,2148665.0,exact
128,Uttar Pradesh,Banda,1799410.0,exact
129,Uttar Pradesh,Bara Banki,3260699.0,exact
13,Jammu And Kashmir,Srinagar,1236829.0,exact
130,Uttar Pradesh,Bareilly,4448359.0,exact
131,Uttar Pradesh,Basti,2464464.0,exact
132,Uttar Pradesh,Bijnor,3682713.0,exact
133,Uttar Pradesh,Budaun,3681896.0,exact
134,Uttar Pradesh,Bulandshahr,3499171.0,exact
135,Uttar Pradesh,Chandauli,1952756.0,exact
136,Uttar Pradesh,Chitrakoot,991730.0,exact
137,Uttar Pradesh,Deoria,3100946.0,exact
138,Uttar Pradesh,Etah,1774480.0,exact
139,Uttar Pradesh,Etawah,1581810.0,exact
14,Jammu And Kashmir,Udhampur,554985.0,exact
140,Uttar Pradesh,Ayodhya,,unmatched_likely_post_2011_district
141,Uttar Pradesh,Farrukhabad,1885204.0,exact
142,Uttar Pradesh,Fatehpur,2632733.0,exact
143,Uttar Pradesh,Firozabad,2498156.0,exact
144,Uttar Pradesh,Gautam Buddha Nagar,1648115.0,exact
145,Uttar Pradesh,Ghaziabad,4681645.0,exact
146,Uttar Pradesh,Ghazipur,3620268.0,exact
147,Uttar Pradesh,Gonda,3433919.0,exact
148,Uttar Pradesh,Gorakhpur,4440895.0,exact
149,Uttar Pradesh,Hamirpur,1104285.0,exact
15,Himachal Pradesh,Bilaspur,381956.0,exact
150,Uttar Pradesh,Hardoi,4092845.0,exact
151,Uttar Pradesh,Jalaun,1689974.0,exact
152,Uttar Pradesh,Jaunpur,4494204.0,exact
153,Uttar Pradesh,Jhansi,1998603.0,exact
154,Uttar Pradesh,Amroha,,unmatched_likely_post_2011_district
155,Uttar Pradesh,Kannauj,1656616.0,exact
156,Uttar Pradesh,Kanpur Dehat,1796184.0,exact
157,Uttar Pradesh,Kanpur Nagar,4581268.0,exact
158,Uttar Pradesh,Kaushambi,1599596.0,exact
159,Uttar Pradesh,Kheri,4021243.0,exact
16,Himachal Pradesh,Chamba,519080.0,exact
160,Uttar Pradesh,Kushinagar,3564544.0,exact
161,Uttar Pradesh,Lalitpur,1221592.0,exact
162,Uttar Pradesh,Lucknow,4589838.0,exact
163,Uttar Pradesh,Hathras,,unmatched_likely_post_2011_district
164,Uttar Pradesh,Mahrajganj,2684703.0,exact
165,Uttar Pradesh,Mahoba,875958.0,exact
166,Uttar Pradesh,Mainpuri,1868529.0,exact
167,Uttar Pradesh,Mathura,2547184.0,exact
168,Uttar Pradesh,Mau,2205968.0,exact
169,Uttar Pradesh,Meerut,3443689.0,exact
17,Himachal Pradesh,Hamirpur,454768.0,exact
170,Uttar Pradesh,Mirzapur,2496970.0,exact
171,Uttar Pradesh,Moradabad,4772006.0,exact
172,Uttar Pradesh,Muzaffarnagar,4143512.0,exact
173,Uttar Pradesh,Pilibhit,2031007.0,exact
174,Uttar Pradesh,Pratapgarh,3209141.0,exact
175,Uttar Pradesh,Rae Bareli,3405559.0,exact
176,Uttar Pradesh,Rampur,2335819.0,exact
177,Uttar Pradesh,Saharanpur,3466382.0,exact
178,Uttar Pradesh,Sant Kabir Nagar,1715183.0,exact
179,Uttar Pradesh,Bhadohi,4092845,fuzzy
18,Himachal Pradesh,Kangra,1510075.0,exact
180,Uttar Pradesh,Shahjahanpur,3006538.0,exact
181,Uttar Pradesh,Shrawasti,1117361.0,exact
182,Uttar Pradesh,Siddharthnagar,2559297.0,exact
183,Uttar Pradesh,Sitapur,4483992.0,exact
184,Uttar Pradesh,Sonbhadra,1862559.0,exact
185,Uttar Pradesh,Sultanpur,3797117.0,exact
186,Uttar Pradesh,Unnao,3108367.0,exact
187,Uttar Pradesh,Varanasi,3676841.0,exact
188,Bihar,Araria,2811569.0,exact
189,Bihar,Aurangabad,2540073.0,exact
19,Himachal Pradesh,Kinnaur,84121.0,exact
190,Bihar,Banka,2034763.0,exact
191,Bihar,Begusarai,2970541.0,exact
192,Bihar,Bhagalpur,3037766.0,exact
193,Bihar,Bhojpur,2728407.0,exact
194,Bihar,Buxar,1706352.0,exact
195,Bihar,Darbhanga,3937385.0,exact
196,Bihar,Gaya,4391418.0,exact
197,Bihar,Gopalganj,2562012.0,exact
198,Bihar,Jamui,1760405.0,exact
199,Bihar,Jehanabad,1125313.0,exact
2,Jammu And Kashmir,Budgam,753745,fuzzy
20,Himachal Pradesh,Kullu,437903.0,exact
200,Bihar,Kaimur (Bhabua),1626384.0,exact
201,Bihar,Katihar,3071029.0,exact
202,Bihar,Khagaria,1666886.0,exact
203,Bihar,Kishanganj,1690400.0,exact
204,Bihar,Lakhisarai,1000912.0,exact
205,Bihar,Madhepura,2001762.0,exact
206,Bihar,Madhubani,4487379.0,exact
207,Bihar,Munger,1367765.0,exact
208,Bihar,Muzaffarpur,4801062.0,exact
209,Bihar,Nalanda,2877653.0,exact
21,Himachal Pradesh,Lahul And Spiti,31564.0,exact
210,Bihar,Nawada,2219146.0,exact
211,Bihar,Pashchim Champaran,3935042.0,exact
212,Bihar,Patna,5838465.0,exact
213,Bihar,Purbi Champaran,5099371,fuzzy
214,Bihar,Purnia,3264619.0,exact
215,Bihar,Rohtas,2959918.0,exact
216,Bihar,Saharsa,1900661.0,exact
217,Bihar,Samastipur,4261566.0,exact
218,Bihar,Saran,3951862.0,exact
219,Bihar,Sheikhpura,636342.0,exact
22,Himachal Pradesh,Mandi,999777.0,exact
220,Bihar,Sheohar,656246.0,exact
221,Bihar,Sitamarhi,3423574.0,exact
222,Bihar,Siwan,3330464.0,exact
223,Bihar,Supaul,2229076.0,exact
224,Bihar,Vaishali,3495021.0,exact
225,Sikkim,Gangtok,,unmatched_likely_post_2011_district
226,Sikkim,Mangan,,unmatched_likely_post_2011_district
227,Sikkim,Namchi,,unmatched_likely_post_2011_district
228,Sikkim,Gyalshing,,unmatched_likely_post_2011_district
229,Arunachal Pradesh,Changlang,148226.0,exact
23,Himachal Pradesh,Shimla,814010.0,exact
230,Arunachal Pradesh,Dibang Valley,8004.0,exact
231,Arunachal Pradesh,East Kameng,78690.0,exact
